round,col_play,row_play,row_game,col_game,treatment,type
1,"(0.5555555555555556, 0.4444444444444444, 0.0)","(0.07142857142857142, 0.42857142857142855, 0.5)","[[[4.0, 5.0], [4.0, 3.0], [3.0, 1.0]], [[5.0, 6.0], [6.0, 3.0], [2.0, 2.0]], [[0.0, 3.0], [9.0, 9.0], [3.0, 4.0]]]","[[[5.0, 4.0], [6.0, 5.0], [3.0, 0.0]], [[3.0, 4.0], [3.0, 6.0], [9.0, 9.0]], [[1.0, 3.0], [2.0, 2.0], [4.0, 3.0]]]",positive,treatment
2,"(0.0, 0.9411764705882353, 0.058823529411764705)","(0.4, 0.06666666666666667, 0.5333333333333333)","[[[5.0, 6.0], [7.0, 6.0], [4.0, 4.0]], [[4.0, 2.0], [4.0, 5.0], [5.0, 3.0]], [[3.0, 4.0], [9.0, 9.0], [5.0, 6.0]]]","[[[6.0, 5.0], [2.0, 4.0], [4.0, 3.0]], [[6.0, 7.0], [5.0, 4.0], [9.0, 9.0]], [[4.0, 4.0], [3.0, 5.0], [6.0, 5.0]]]",positive,treatment
3,"(0.3125, 0.5625, 0.125)","(0.9375, 0.0, 0.0625)","[[[7.0, 6.0], [9.0, 8.0], [3.0, 1.0]], [[7.0, 1.0], [1.0, 0.0], [3.0, 3.0]], [[3.0, 6.0], [4.0, 2.0], [5.0, 8.0]]]","[[[6.0, 7.0], [1.0, 7.0], [6.0, 3.0]], [[8.0, 9.0], [0.0, 1.0], [2.0, 4.0]], [[1.0, 3.0], [3.0, 3.0], [8.0, 5.0]]]",positive,treatment
4,"(0.7647058823529411, 0.11764705882352941, 0.11764705882352941)","(0.0, 0.8666666666666667, 0.13333333333333333)","[[[6.0, 6.0], [2.0, 1.0], [0.0, 1.0]], [[8.0, 8.0], [4.0, 4.0], [3.0, 7.0]], [[0.0, 0.0], [8.0, 5.0], [4.0, 5.0]]]","[[[6.0, 6.0], [8.0, 8.0], [0.0, 0.0]], [[1.0, 2.0], [4.0, 4.0], [5.0, 8.0]], [[1.0, 0.0], [7.0, 3.0], [5.0, 4.0]]]",positive,treatment
5,"(0.9411764705882353, 0.0, 0.058823529411764705)","(0.8, 0.06666666666666667, 0.13333333333333333)","[[[9.0, 7.0], [2.0, 2.0], [2.0, 4.0]], [[6.0, 5.0], [1.0, 1.0], [2.0, 3.0]], [[5.0, 6.0], [3.0, 3.0], [6.0, 7.0]]]","[[[7.0, 9.0], [5.0, 6.0], [6.0, 5.0]], [[2.0, 2.0], [1.0, 1.0], [3.0, 3.0]], [[4.0, 2.0], [3.0, 2.0], [7.0, 6.0]]]",positive,treatment
6,"(0.0, 0.7222222222222222, 0.2777777777777778)","(0.07142857142857142, 0.0, 0.9285714285714286)","[[[5.0, 2.0], [4.0, 4.0], [6.0, 4.0]], [[0.0, 4.0], [5.0, 5.0], [4.0, 1.0]], [[9.0, 4.0], [8.0, 6.0], [8.0, 6.0]]]","[[[2.0, 5.0], [4.0, 0.0], [4.0, 9.0]], [[4.0, 4.0], [5.0, 5.0], [6.0, 8.0]], [[4.0, 6.0], [1.0, 4.0], [6.0, 8.0]]]",positive,treatment
7,"(0.058823529411764705, 0.058823529411764705, 0.8823529411764706)","(0.3333333333333333, 0.06666666666666667, 0.6)","[[[4.0, 6.0], [4.0, 4.0], [4.0, 4.0]], [[0.0, 1.0], [0.0, 3.0], [5.0, 4.0]], [[4.0, 4.0], [1.0, 1.0], [7.0, 6.0]]]","[[[6.0, 4.0], [1.0, 0.0], [4.0, 4.0]], [[4.0, 4.0], [3.0, 0.0], [1.0, 1.0]], [[4.0, 4.0], [4.0, 5.0], [6.0, 7.0]]]",positive,treatment
8,"(0.9444444444444444, 0.0, 0.05555555555555555)","(0.0, 1.0, 0.0)","[[[5.0, 6.0], [4.0, 2.0], [5.0, 3.0]], [[9.0, 7.0], [3.0, 5.0], [5.0, 7.0]], [[2.0, 6.0], [3.0, 2.0], [4.0, 1.0]]]","[[[6.0, 5.0], [7.0, 9.0], [6.0, 2.0]], [[2.0, 4.0], [5.0, 3.0], [2.0, 3.0]], [[3.0, 5.0], [7.0, 5.0], [1.0, 4.0]]]",positive,treatment
9,"(0.2777777777777778, 0.1111111111111111, 0.6111111111111112)","(0.6428571428571429, 0.35714285714285715, 0.0)","[[[6.0, 6.0], [7.0, 8.0], [3.0, 3.0]], [[7.0, 7.0], [1.0, 0.0], [9.0, 7.0]], [[2.0, 0.0], [5.0, 5.0], [6.0, 7.0]]]","[[[6.0, 6.0], [7.0, 7.0], [0.0, 2.0]], [[8.0, 7.0], [0.0, 1.0], [5.0, 5.0]], [[3.0, 3.0], [7.0, 9.0], [7.0, 6.0]]]",positive,treatment
10,"(0.5, 0.4375, 0.0625)","(0.0, 0.75, 0.25)","[[[2.0, 2.0], [5.0, 8.0], [0.0, 2.0]], [[9.0, 8.0], [2.0, 3.0], [6.0, 4.0]], [[4.0, 0.0], [8.0, 7.0], [2.0, 4.0]]]","[[[2.0, 2.0], [8.0, 9.0], [0.0, 4.0]], [[8.0, 5.0], [3.0, 2.0], [7.0, 8.0]], [[2.0, 0.0], [4.0, 6.0], [4.0, 2.0]]]",positive,treatment
11,"(0.3125, 0.625, 0.0625)","(0.0, 0.9375, 0.0625)","[[[3.0, 5.0], [5.0, 2.0], [4.0, 6.0]], [[8.0, 7.0], [7.0, 8.0], [6.0, 3.0]], [[5.0, 2.0], [3.0, 2.0], [7.0, 5.0]]]","[[[5.0, 3.0], [7.0, 8.0], [2.0, 5.0]], [[2.0, 5.0], [8.0, 7.0], [2.0, 3.0]], [[6.0, 4.0], [3.0, 6.0], [5.0, 7.0]]]",positive,treatment
12,"(0.06666666666666667, 0.06666666666666667, 0.8666666666666667)","(0.9411764705882353, 0.0, 0.058823529411764705)","[[[6.0, 5.0], [4.0, 3.0], [8.0, 8.0]], [[2.0, 1.0], [2.0, 4.0], [6.0, 6.0]], [[3.0, 8.0], [8.0, 6.0], [0.0, 2.0]]]","[[[5.0, 6.0], [1.0, 2.0], [8.0, 3.0]], [[3.0, 4.0], [4.0, 2.0], [6.0, 8.0]], [[8.0, 8.0], [6.0, 6.0], [2.0, 0.0]]]",positive,treatment
13,"(0.0625, 0.875, 0.0625)","(0.3125, 0.0, 0.6875)","[[[8.0, 6.0], [7.0, 7.0], [5.0, 4.0]], [[1.0, 1.0], [6.0, 2.0], [2.0, 0.0]], [[8.0, 6.0], [8.0, 8.0], [3.0, 2.0]]]","[[[6.0, 8.0], [1.0, 1.0], [6.0, 8.0]], [[7.0, 7.0], [2.0, 6.0], [8.0, 8.0]], [[4.0, 5.0], [0.0, 2.0], [2.0, 3.0]]]",positive,treatment
14,"(0.26666666666666666, 0.0, 0.7333333333333333)","(0.058823529411764705, 0.23529411764705882, 0.7058823529411765)","[[[6.0, 7.0], [2.0, 1.0], [4.0, 4.0]], [[5.0, 8.0], [3.0, 1.0], [9.0, 8.0]], [[6.0, 7.0], [9.0, 7.0], [8.0, 9.0]]]","[[[7.0, 6.0], [8.0, 5.0], [7.0, 6.0]], [[1.0, 2.0], [1.0, 3.0], [7.0, 9.0]], [[4.0, 4.0], [8.0, 9.0], [9.0, 8.0]]]",positive,treatment
15,"(0.0, 1.0, 0.0)","(0.6875, 0.0625, 0.25)","[[[2.0, 3.0], [9.0, 8.0], [2.0, 1.0]], [[3.0, 2.0], [7.0, 6.0], [5.0, 3.0]], [[6.0, 3.0], [7.0, 5.0], [5.0, 2.0]]]","[[[3.0, 2.0], [2.0, 3.0], [3.0, 6.0]], [[8.0, 9.0], [6.0, 7.0], [5.0, 7.0]], [[1.0, 2.0], [3.0, 5.0], [2.0, 5.0]]]",positive,treatment
16,"(0.9333333333333333, 0.0, 0.06666666666666667)","(0.6470588235294118, 0.35294117647058826, 0.0)","[[[8.0, 6.0], [7.0, 4.0], [5.0, 1.0]], [[4.0, 7.0], [9.0, 3.0], [4.0, 7.0]], [[4.0, 7.0], [1.0, 3.0], [2.0, 3.0]]]","[[[6.0, 8.0], [7.0, 4.0], [7.0, 4.0]], [[4.0, 7.0], [3.0, 9.0], [3.0, 1.0]], [[1.0, 5.0], [7.0, 4.0], [3.0, 2.0]]]",positive,treatment
17,"(0.0, 1.0, 0.0)","(0.0, 0.26666666666666666, 0.7333333333333333)","[[[3.0, 4.0], [4.0, 9.0], [0.0, 1.0]], [[5.0, 5.0], [5.0, 9.0], [2.0, 3.0]], [[3.0, 2.0], [8.0, 8.0], [5.0, 3.0]]]","[[[4.0, 3.0], [5.0, 5.0], [2.0, 3.0]], [[9.0, 4.0], [9.0, 5.0], [8.0, 8.0]], [[1.0, 0.0], [3.0, 2.0], [3.0, 5.0]]]",positive,treatment
18,"(0.0625, 0.625, 0.3125)","(0.5, 0.0, 0.5)","[[[2.0, 3.0], [6.0, 8.0], [3.0, 2.0]], [[0.0, 2.0], [4.0, 1.0], [3.0, 4.0]], [[3.0, 4.0], [4.0, 3.0], [7.0, 6.0]]]","[[[3.0, 2.0], [2.0, 0.0], [4.0, 3.0]], [[8.0, 6.0], [1.0, 4.0], [3.0, 4.0]], [[2.0, 3.0], [4.0, 3.0], [6.0, 7.0]]]",positive,treatment
19,"(0.8125, 0.0, 0.1875)","(0.625, 0.0, 0.375)","[[[9.0, 8.0], [0.0, 1.0], [4.0, 5.0]], [[6.0, 4.0], [6.0, 7.0], [2.0, 4.0]], [[6.0, 5.0], [6.0, 7.0], [6.0, 9.0]]]","[[[8.0, 9.0], [4.0, 6.0], [5.0, 6.0]], [[1.0, 0.0], [7.0, 6.0], [7.0, 6.0]], [[5.0, 4.0], [4.0, 2.0], [9.0, 6.0]]]",positive,treatment
20,"(0.0, 1.0, 0.0)","(0.0, 0.875, 0.125)","[[[2.0, 1.0], [2.0, 6.0], [3.0, 6.0]], [[8.0, 6.0], [9.0, 9.0], [0.0, 3.0]], [[3.0, 5.0], [3.0, 2.0], [7.0, 5.0]]]","[[[1.0, 2.0], [6.0, 8.0], [5.0, 3.0]], [[6.0, 2.0], [9.0, 9.0], [2.0, 3.0]], [[6.0, 3.0], [3.0, 0.0], [5.0, 7.0]]]",positive,treatment
21,"(0.375, 0.0, 0.625)","(0.4375, 0.5625, 0.0)","[[[3.0, 4.0], [3.0, 3.0], [6.0, 8.0]], [[7.0, 7.0], [1.0, 0.0], [4.0, 7.0]], [[1.0, 2.0], [2.0, 4.0], [5.0, 8.0]]]","[[[4.0, 3.0], [7.0, 7.0], [2.0, 1.0]], [[3.0, 3.0], [0.0, 1.0], [4.0, 2.0]], [[8.0, 6.0], [7.0, 4.0], [8.0, 5.0]]]",positive,treatment
22,"(0.1875, 0.75, 0.0625)","(0.375, 0.625, 0.0)","[[[8.0, 9.0], [8.0, 7.0], [0.0, 1.0]], [[7.0, 4.0], [8.0, 9.0], [5.0, 7.0]], [[2.0, 2.0], [4.0, 5.0], [5.0, 5.0]]]","[[[9.0, 8.0], [4.0, 7.0], [2.0, 2.0]], [[7.0, 8.0], [9.0, 8.0], [5.0, 4.0]], [[1.0, 0.0], [7.0, 5.0], [5.0, 5.0]]]",positive,treatment
23,"(0.125, 0.8125, 0.0625)","(0.125, 0.0, 0.875)","[[[6.0, 8.0], [7.0, 9.0], [3.0, 4.0]], [[4.0, 7.0], [4.0, 6.0], [0.0, 0.0]], [[7.0, 7.0], [8.0, 9.0], [7.0, 5.0]]]","[[[8.0, 6.0], [7.0, 4.0], [7.0, 7.0]], [[9.0, 7.0], [6.0, 4.0], [9.0, 8.0]], [[4.0, 3.0], [0.0, 0.0], [5.0, 7.0]]]",positive,treatment
24,"(0.25, 0.5625, 0.1875)","(0.1875, 0.0, 0.8125)","[[[5.0, 7.0], [1.0, 7.0], [6.0, 2.0]], [[4.0, 4.0], [4.0, 0.0], [2.0, 3.0]], [[2.0, 1.0], [7.0, 7.0], [6.0, 6.0]]]","[[[7.0, 5.0], [4.0, 4.0], [1.0, 2.0]], [[7.0, 1.0], [0.0, 4.0], [7.0, 7.0]], [[2.0, 6.0], [3.0, 2.0], [6.0, 6.0]]]",positive,treatment
25,"(0.375, 0.0625, 0.5625)","(0.0, 0.875, 0.125)","[[[3.0, 2.0], [5.0, 3.0], [2.0, 4.0]], [[6.0, 7.0], [8.0, 8.0], [9.0, 8.0]], [[9.0, 8.0], [1.0, 5.0], [5.0, 7.0]]]","[[[2.0, 3.0], [7.0, 6.0], [8.0, 9.0]], [[3.0, 5.0], [8.0, 8.0], [5.0, 1.0]], [[4.0, 2.0], [8.0, 9.0], [7.0, 5.0]]]",positive,treatment
26,"(1.0, 0.0, 0.0)","(0.0, 1.0, 0.0)","[[[5.0, 4.0], [3.0, 2.0], [0.0, 2.0]], [[8.0, 8.0], [4.0, 6.0], [4.0, 3.0]], [[3.0, 2.0], [5.0, 4.0], [3.0, 0.0]]]","[[[4.0, 5.0], [8.0, 8.0], [2.0, 3.0]], [[2.0, 3.0], [6.0, 4.0], [4.0, 5.0]], [[2.0, 0.0], [3.0, 4.0], [0.0, 3.0]]]",positive,treatment
27,"(0.5, 0.3125, 0.1875)","(0.0625, 0.0, 0.9375)","[[[2.0, 4.0], [7.0, 8.0], [3.0, 4.0]], [[0.0, 3.0], [7.0, 5.0], [8.0, 8.0]], [[8.0, 9.0], [9.0, 7.0], [4.0, 5.0]]]","[[[4.0, 2.0], [3.0, 0.0], [9.0, 8.0]], [[8.0, 7.0], [5.0, 7.0], [7.0, 9.0]], [[4.0, 3.0], [8.0, 8.0], [5.0, 4.0]]]",positive,treatment
28,"(0.0625, 0.9375, 0.0)","(0.4375, 0.0, 0.5625)","[[[2.0, 3.0], [6.0, 8.0], [1.0, 6.0]], [[5.0, 8.0], [3.0, 5.0], [1.0, 1.0]], [[3.0, 3.0], [5.0, 9.0], [5.0, 2.0]]]","[[[3.0, 2.0], [8.0, 5.0], [3.0, 3.0]], [[8.0, 6.0], [5.0, 3.0], [9.0, 5.0]], [[6.0, 1.0], [1.0, 1.0], [2.0, 5.0]]]",positive,treatment
29,"(0.8125, 0.1875, 0.0)","(0.3125, 0.0625, 0.625)","[[[5.0, 7.0], [6.0, 5.0], [2.0, 6.0]], [[3.0, 6.0], [3.0, 3.0], [6.0, 5.0]], [[5.0, 5.0], [7.0, 5.0], [0.0, 0.0]]]","[[[7.0, 5.0], [6.0, 3.0], [5.0, 5.0]], [[5.0, 6.0], [3.0, 3.0], [5.0, 7.0]], [[6.0, 2.0], [5.0, 6.0], [0.0, 0.0]]]",positive,treatment
30,"(0.0625, 0.1875, 0.75)","(0.0, 0.3125, 0.6875)","[[[4.0, 5.0], [4.0, 4.0], [0.0, 2.0]], [[4.0, 3.0], [1.0, 3.0], [9.0, 8.0]], [[2.0, 0.0], [8.0, 8.0], [8.0, 9.0]]]","[[[5.0, 4.0], [3.0, 4.0], [0.0, 2.0]], [[4.0, 4.0], [3.0, 1.0], [8.0, 8.0]], [[2.0, 0.0], [8.0, 9.0], [9.0, 8.0]]]",positive,treatment
31,"(0.75, 0.0625, 0.1875)","(0.5625, 0.375, 0.0625)","[[[8, 8], [2, 6], [0, 5]], [[6, 2], [6, 6], [2, 5]], [[5, 0], [5, 2], [5, 5]]]","[[[8, 8], [2, 6], [0, 5]], [[6, 2], [6, 6], [2, 5]], [[5, 0], [5, 2], [5, 5]]]",positive,comparison
32,"(0.125, 0.0, 0.875)","(0.0625, 0.9375, 0.0)","[[[5.0, 7.0], [4.0, 3.0], [5.0, 3.0]], [[1.0, 1.0], [7.0, 4.0], [8.0, 8.0]], [[3.0, 4.0], [1.0, 1.0], [5.0, 6.0]]]","[[[7.0, 5.0], [1.0, 1.0], [4.0, 3.0]], [[3.0, 4.0], [4.0, 7.0], [1.0, 1.0]], [[3.0, 5.0], [8.0, 8.0], [6.0, 5.0]]]",positive,treatment
33,"(0.9375, 0.0, 0.0625)","(0.25, 0.5625, 0.1875)","[[[7.0, 9.0], [2.0, 2.0], [6.0, 4.0]], [[8.0, 7.0], [2.0, 4.0], [5.0, 6.0]], [[7.0, 4.0], [6.0, 3.0], [5.0, 2.0]]]","[[[9.0, 7.0], [7.0, 8.0], [4.0, 7.0]], [[2.0, 2.0], [4.0, 2.0], [3.0, 6.0]], [[4.0, 6.0], [6.0, 5.0], [2.0, 5.0]]]",positive,treatment
34,"(0.875, 0.0, 0.125)","(0.125, 0.0625, 0.8125)","[[[6.0, 3.0], [2.0, 4.0], [3.0, 4.0]], [[5.0, 3.0], [4.0, 0.0], [2.0, 4.0]], [[5.0, 7.0], [3.0, 2.0], [5.0, 4.0]]]","[[[3.0, 6.0], [3.0, 5.0], [7.0, 5.0]], [[4.0, 2.0], [0.0, 4.0], [2.0, 3.0]], [[4.0, 3.0], [4.0, 2.0], [4.0, 5.0]]]",positive,treatment
35,"(0.4375, 0.125, 0.4375)","(0.4375, 0.1875, 0.375)","[[[7.0, 6.0], [2.0, 6.0], [9.0, 7.0]], [[5.0, 6.0], [6.0, 8.0], [6.0, 8.0]], [[8.0, 7.0], [7.0, 4.0], [4.0, 4.0]]]","[[[6.0, 7.0], [6.0, 5.0], [7.0, 8.0]], [[6.0, 2.0], [8.0, 6.0], [4.0, 7.0]], [[7.0, 9.0], [8.0, 6.0], [4.0, 4.0]]]",positive,treatment
36,"(0.5625, 0.4375, 0.0)","(0.5625, 0.4375, 0.0)","[[[7.0, 6.0], [5.0, 8.0], [8.0, 5.0]], [[8.0, 9.0], [2.0, 4.0], [4.0, 7.0]], [[2.0, 1.0], [7.0, 8.0], [7.0, 6.0]]]","[[[6.0, 7.0], [9.0, 8.0], [1.0, 2.0]], [[8.0, 5.0], [4.0, 2.0], [8.0, 7.0]], [[5.0, 8.0], [7.0, 4.0], [6.0, 7.0]]]",positive,treatment
37,"(0.25, 0.5, 0.25)","(0.0625, 0.3125, 0.625)","[[[3.0, 5.0], [3.0, 6.0], [2.0, 5.0]], [[6.0, 6.0], [3.0, 8.0], [2.0, 1.0]], [[3.0, 6.0], [7.0, 6.0], [4.0, 9.0]]]","[[[5.0, 3.0], [6.0, 6.0], [6.0, 3.0]], [[6.0, 3.0], [8.0, 3.0], [6.0, 7.0]], [[5.0, 2.0], [1.0, 2.0], [9.0, 4.0]]]",positive,treatment
38,"(0.4375, 0.5625, 0.0)","(0.5625, 0.4375, 0.0)","[[[8, 8], [2, 9], [1, 0]], [[9, 2], [3, 3], [1, 1]], [[0, 1], [1, 1], [1, 1]]]","[[[8, 8], [2, 9], [1, 0]], [[9, 2], [3, 3], [1, 1]], [[0, 1], [1, 1], [1, 1]]]",positive,comparison
39,"(0.0, 0.625, 0.375)","(0.0, 0.8125, 0.1875)","[[[0.0, 2.0], [3.0, 2.0], [4.0, 5.0]], [[1.0, 2.0], [7.0, 6.0], [2.0, 2.0]], [[3.0, 1.0], [4.0, 0.0], [3.0, 2.0]]]","[[[2.0, 0.0], [2.0, 1.0], [1.0, 3.0]], [[2.0, 3.0], [6.0, 7.0], [0.0, 4.0]], [[5.0, 4.0], [2.0, 2.0], [2.0, 3.0]]]",positive,treatment
40,"(0.25, 0.75, 0.0)","(0.0, 1.0, 0.0)","[[[5.0, 5.0], [1.0, 1.0], [2.0, 4.0]], [[5.0, 3.0], [8.0, 9.0], [3.0, 4.0]], [[6.0, 4.0], [6.0, 7.0], [1.0, 3.0]]]","[[[5.0, 5.0], [3.0, 5.0], [4.0, 6.0]], [[1.0, 1.0], [9.0, 8.0], [7.0, 6.0]], [[4.0, 2.0], [4.0, 3.0], [3.0, 1.0]]]",positive,treatment
41,"(0.125, 0.75, 0.125)","(0.3125, 0.125, 0.5625)","[[[4.0, 5.0], [6.0, 6.0], [4.0, 3.0]], [[2.0, 4.0], [6.0, 7.0], [0.0, 2.0]], [[9.0, 5.0], [4.0, 4.0], [5.0, 7.0]]]","[[[5.0, 4.0], [4.0, 2.0], [5.0, 9.0]], [[6.0, 6.0], [7.0, 6.0], [4.0, 4.0]], [[3.0, 4.0], [2.0, 0.0], [7.0, 5.0]]]",positive,treatment
42,"(0.0625, 0.1875, 0.75)","(0.125, 0.3125, 0.5625)","[[[4, 4], [4, 6], [5, 0]], [[6, 4], [3, 3], [5, 1]], [[0, 5], [1, 5], [9, 9]]]","[[[4, 4], [4, 6], [5, 0]], [[6, 4], [3, 3], [5, 1]], [[0, 5], [1, 5], [9, 9]]]",positive,comparison
43,"(0.0625, 0.4375, 0.5)","(0.5625, 0.0, 0.4375)","[[[5.0, 6.0], [9.0, 7.0], [5.0, 5.0]], [[0.0, 4.0], [3.0, 0.0], [2.0, 6.0]], [[4.0, 3.0], [6.0, 6.0], [8.0, 7.0]]]","[[[6.0, 5.0], [4.0, 0.0], [3.0, 4.0]], [[7.0, 9.0], [0.0, 3.0], [6.0, 6.0]], [[5.0, 5.0], [6.0, 2.0], [7.0, 8.0]]]",positive,treatment
44,"(0.5625, 0.25, 0.1875)","(0.6875, 0.3125, 0.0)","[[[6.0, 4.0], [6.0, 8.0], [8.0, 7.0]], [[7.0, 9.0], [6.0, 6.0], [3.0, 5.0]], [[1.0, 4.0], [3.0, 0.0], [2.0, 3.0]]]","[[[4.0, 6.0], [9.0, 7.0], [4.0, 1.0]], [[8.0, 6.0], [6.0, 6.0], [0.0, 3.0]], [[7.0, 8.0], [5.0, 3.0], [3.0, 2.0]]]",positive,treatment
45,"(0.0625, 0.75, 0.1875)","(1.0, 0.0, 0.0)","[[[6.0, 8.0], [8.0, 9.0], [6.0, 3.0]], [[3.0, 5.0], [0.0, 2.0], [6.0, 9.0]], [[3.0, 1.0], [5.0, 4.0], [1.0, 2.0]]]","[[[8.0, 6.0], [5.0, 3.0], [1.0, 3.0]], [[9.0, 8.0], [2.0, 0.0], [4.0, 5.0]], [[3.0, 6.0], [9.0, 6.0], [2.0, 1.0]]]",positive,treatment
46,"(0.8125, 0.0, 0.1875)","(0.25, 0.0625, 0.6875)","[[[6.0, 9.0], [2.0, 1.0], [0.0, 5.0]], [[6.0, 7.0], [3.0, 1.0], [6.0, 7.0]], [[9.0, 4.0], [5.0, 5.0], [6.0, 5.0]]]","[[[9.0, 6.0], [7.0, 6.0], [4.0, 9.0]], [[1.0, 2.0], [1.0, 3.0], [5.0, 5.0]], [[5.0, 0.0], [7.0, 6.0], [5.0, 6.0]]]",positive,treatment
47,"(0.5625, 0.375, 0.0625)","(0.0, 0.25, 0.75)","[[[5.0, 8.0], [2.0, 2.0], [5.0, 7.0]], [[3.0, 5.0], [6.0, 9.0], [4.0, 4.0]], [[4.0, 7.0], [8.0, 6.0], [3.0, 3.0]]]","[[[8.0, 5.0], [5.0, 3.0], [7.0, 4.0]], [[2.0, 2.0], [9.0, 6.0], [6.0, 8.0]], [[7.0, 5.0], [4.0, 4.0], [3.0, 3.0]]]",positive,treatment
48,"(0.75, 0.1875, 0.0625)","(0.875, 0.125, 0.0)","[[[9.0, 9.0], [8.0, 4.0], [8.0, 9.0]], [[8.0, 6.0], [6.0, 7.0], [3.0, 1.0]], [[7.0, 9.0], [6.0, 8.0], [0.0, 1.0]]]","[[[9.0, 9.0], [6.0, 8.0], [9.0, 7.0]], [[4.0, 8.0], [7.0, 6.0], [8.0, 6.0]], [[9.0, 8.0], [1.0, 3.0], [1.0, 0.0]]]",positive,treatment
49,"(0.1875, 0.625, 0.1875)","(0.25, 0.6875, 0.0625)","[[[4, 4], [9, 1], [1, 3]], [[1, 9], [8, 8], [1, 8]], [[3, 1], [8, 1], [3, 3]]]","[[[4, 4], [9, 1], [1, 3]], [[1, 9], [8, 8], [1, 8]], [[3, 1], [8, 1], [3, 3]]]",positive,comparison
50,"(0.25, 0.6875, 0.0625)","(0.9375, 0.0625, 0.0)","[[[9.0, 8.0], [7.0, 9.0], [2.0, 5.0]], [[3.0, 0.0], [7.0, 9.0], [6.0, 4.0]], [[3.0, 4.0], [7.0, 3.0], [2.0, 1.0]]]","[[[8.0, 9.0], [0.0, 3.0], [4.0, 3.0]], [[9.0, 7.0], [9.0, 7.0], [3.0, 7.0]], [[5.0, 2.0], [4.0, 6.0], [1.0, 2.0]]]",positive,treatment
